De ref,school name,management type,constituency,total enrolment,nearest_distance_other_management,nearest_school_other_management,nearest_management_type_other_management,area
5016599,"Fair Hill Primary School, Dromara",Controlled,Lagan Valley,259.0,4.3,"St Michael's Primary School, Finnis",Catholic Maintained,59.0
5031694,"Holy Cross Primary School, Newry",Catholic Maintained,South Down,113.0,4.4,"Brackenagh West Primary School, Kilkeel",Controlled,60.2
5031589,Grange Primary School,Catholic Maintained,South Down,107.0,4.4,Kilkeel Primary School,Controlled,60.2
4013046,"Alexander Dickson Primary School, Ballygowan",Controlled,Strangford,84.0,4.4,"Millennium Integrated Primary School, Saintfield",GMI,60.6
4016201,"Academy Primary School, Ballynahinch",Controlled,Strangford,448.0,4.4,"St Caolan's Primary School, Saintfield",Catholic Maintained,61.4
5016224,"Donaghey Primary School, Dungannon",Controlled,Mid Ulster,105.0,4.4,"St Mary's Primary School, Stewartstown",Catholic Maintained,61.5
2036070,"St Joseph's Primary School, Ederney",Catholic Maintained,Fermanagh And South Tyrone,143.0,4.4,Kesh Primary School,Controlled,62.1
2011787,Kesh Primary School,Controlled,Fermanagh And South Tyrone,244.0,4.4,"St Joseph's Primary School, Ederney",Catholic Maintained,62.1
5033003,"St Paul's Primary School, Cabra",Catholic Maintained,South Down,95.0,4.5,"Iveagh Primary School, Newry, Rathfriland",Controlled,62.5
3010893,"Knockahollet Primary School, Ballymena",Controlled,North Antrim,67.0,4.5,"St Patrick's Primary School, Loughgiel",Catholic Maintained,62.9
3036154,"St Patrick's Primary School, Loughgiel",Catholic Maintained,North Antrim,154.0,4.5,"Knockahollet Primary School, Ballymena",Controlled,62.9
5033025,"St Patrick's Primary School, Ballymaghery",Catholic Maintained,South Down,313.0,4.5,"Iveagh Primary School, Newry, Rathfriland",Controlled,64.4
5030975,"St Malachy's Primary School, Ballymoyer",Catholic Maintained,Newry And Armagh,69.0,4.5,Newtownhamilton Primary School,Controlled,64.6
2033706,"Faughanvale Primary School, Greysteel",Catholic Maintained,East Londonderry,165.0,4.6,Eglinton Primary School,Controlled,66.4
4011584,"Carr Primary School, Lisburn",Controlled,Lagan Valley,90.0,4.6,"St Joseph's Primary School, Carryduff",Catholic Maintained,66.8
3030898,"St Anne's Primary School, Loughgiel",Catholic Maintained,North Antrim,91.0,4.6,Cloughmills Primary School,Controlled,67.3
3016260,Cloughmills Primary School,Controlled,North Antrim,89.0,4.6,"St Anne's Primary School, Loughgiel",Catholic Maintained,67.3
5036639,"Our Lady's & St Mochua's Primary School, Keady",Catholic Maintained,Newry And Armagh,175.0,4.7,"Drumhillery Primary School, Middletown",Controlled,68.7
5031166,"St Michael's Primary School, Clady",Catholic Maintained,Newry And Armagh,81.0,4.7,Markethill Primary School,Controlled,69.1
5016436,Markethill Primary School,Controlled,Newry And Armagh,301.0,4.7,"St Michael's Primary School, Clady",Catholic Maintained,69.1
2012641,"Killen Primary School, Castlederg",Controlled,West Tyrone,140.0,4.7,"St Patrick's Primary School, Castlederg",Catholic Maintained,70.3
2016645,"Bready Jubilee Primary School, Strabane",Controlled,West Tyrone,121.0,4.7,"St Mary's Primary School, Cloughcor",Catholic Maintained,70.3
4036455,"St Patrick's Primary School, Legamaddy",Catholic Maintained,South Down,164.0,4.8,Downpatrick Primary School,Controlled,71.4
2032603,"Tummery Primary School, Dromore",Catholic Maintained,West Tyrone,40.0,4.8,"Dromore Primary School, Tyrone",Controlled,71.5
3010796,"Eden Primary School, Ballymoney",Controlled,North Antrim,90.0,4.8,"St Brigid's Primary School, Ballymoney",Catholic Maintained,71.6
3010714,"Buick Memorial Primary School, Ballymena",Controlled,North Antrim,277.0,4.8,"St Paul's Primary School, Ahoghill",Catholic Maintained,71.8
5011157,"Derryhale Primary School, Portadown",Controlled,Newry And Armagh,74.0,4.8,"Presentation Primary School, Portadown",Catholic Maintained,73.1
3032197,"Knocknagin Primary School, Dessertmartin",Catholic Maintained,Mid Ulster,74.0,4.8,"Tobermore Primary School, Tobermore",Controlled,73.3
5036136,"Sacred Heart Primary School, Dungannon",Catholic Maintained,Mid Ulster,121.0,4.8,"Queen Elizabeth II Primary School, Pomeroy",Controlled,73.5
2032705,"St Patrick's Primary School, Eskra",Catholic Maintained,West Tyrone,112.0,4.9,"McClintock Primary School, Seskinore",Controlled,74.3
5031653,"St Matthew's Primary School, Magheramayo",Catholic Maintained,South Down,89.0,4.9,"Bunscoil Bheanna Boirche, Castlewellan",Other Maintained,74.5
2032286,"St Matthew's Primary School, Drumsurn",Catholic Maintained,East Londonderry,108.0,4.9,"Gaelscoil Neachtain, Dungiven",Controlled,75.4
4031526,"St Patrick's Primary School, Saul",Catholic Maintained,South Down,184.0,4.9,Downpatrick Primary School,Controlled,75.7
5031188,"St Joseph's Primary School, Meigh",Catholic Maintained,Newry And Armagh,206.0,5.0,"Bunscoil an Iuir, Newry",Other Maintained,77.8
5032591,"Roan St Patrick's Primary School, Eglish",Catholic Maintained,Fermanagh And South Tyrone,179.0,5.0,"Howard Primary School, Dungannon",Controlled,78.1
5032697,"St Patrick's Primary School, Aughadarragh",Catholic Maintained,Fermanagh And South Tyrone,86.0,5.0,Augher Central Primary School,Controlled,79.2
5036006,"St Mary's Primary School, Derrymore",Catholic Maintained,Upper Bann,136.0,5.0,Ballinderry Primary School,Controlled,79.2
2036187,"St John's Primary School, Dernaflaw",Catholic Maintained,East Londonderry,167.0,5.1,"Gaelscoil Neachtain, Dungiven",Controlled,80.6
3010879,"Straidhavern Primary School, Crumlin",Controlled,South Antrim,46.0,5.1,Crumlin Integrated Primary School,Controlled Integrated,80.6
5032698,"St Brigid's Primary School, Mountjoy",Catholic Maintained,Mid Ulster,121.0,5.1,Stewartstown Primary School,Controlled,80.7
4031531,"St Francis' Primary School, Drumaroad",Catholic Maintained,South Down,92.0,5.1,"Cumran Primary School, Downpatrick",Controlled,81.5
5016178,Donacloney Primary School,Controlled,Upper Bann,222.0,5.1,"St Colman's Primary School, Bann",Catholic Maintained,82.2
5036061,"St Colman's Primary School and All Saints NU, Annaclone",Catholic Maintained,South Down,211.0,5.1,"Bronte Primary School, Banbridge",Controlled,82.5
4016649,"Downshire Primary School, Hillsborough",Controlled,Lagan Valley,651.0,5.2,"St Aloysius Primary School, Lisburn",Catholic Maintained,83.9
5011095,"Mullavilly Primary School, Tandragee",Controlled,Newry And Armagh,113.0,5.2,"Presentation Primary School, Portadown",Catholic Maintained,84.6
3012229,"Hezlett Primary School, Coleraine",Controlled,East Londonderry,165.0,5.2,"St Colum's Primary School, Portstewart",Catholic Maintained,85.6
5032208,"Ballylifford Primary School, Coagh",Catholic Maintained,Mid Ulster,77.0,5.3,Coagh Primary School,Controlled,87.6
5036033,"St Joseph's Primary School, Galbally",Catholic Maintained,Mid Ulster,216.0,5.3,"Walker Memorial Primary School, Dungannon",Controlled,89.4
2032694,"St Caireall's Primary School, Castlederg",Catholic Maintained,West Tyrone,133.0,5.3,"Killen Primary School, Castlederg",Controlled,89.5
5036598,"Our Lady's Primary School, Tullysaran",Catholic Maintained,Newry And Armagh,192.0,5.4,"Killylea Primary School, Armagh",Controlled,90.3
5032717,"St Patrick's Primary School, Mullinahoe",Catholic Maintained,Mid Ulster,229.0,5.4,Coagh Primary School,Controlled,90.8
4033007,"St Macartan's Primary School, Downpatrick",Catholic Maintained,South Down,171.0,5.4,"Cumran Primary School, Downpatrick",Controlled,91.6
2016184,"Lack Primary School, Enniskillen",Controlled,Fermanagh And South Tyrone,22.0,5.4,"St Joseph's Primary School, Ederney",Catholic Maintained,91.6
3032205,"St Columb's Primary School, Desertmartin",Catholic Maintained,Mid Ulster,77.0,5.6,"Tobermore Primary School, Tobermore",Controlled,96.9
3010572,"Carrowreagh Primary School, Ballymoney",Controlled,North Antrim,89.0,5.6,"St Brigid's Primary School, Ballymoney",Catholic Maintained,97.2
4011300,"Greyabbey Primary School, Newtownards",Controlled,Strangford,78.0,5.6,"Kircubbin Integrated Primary School, Newtownards",Controlled Integrated,97.5
5016179,"Hamiltonsbawn Primary School, Armagh",Controlled,Newry And Armagh,109.0,5.6,Saints and Scholars Integrated Primary School,GMI,98.0
2032688,"St Eugene's Primary School, Tircur",Catholic Maintained,West Tyrone,18.0,5.6,"Gortin Primary School, Omagh",Controlled,98.4
3012065,"Culcrow Primary School, Aghadowey",Controlled,East Londonderry,102.0,5.6,"St Brigid's Primary School, Ballymoney",Catholic Maintained,99.0
2036097,"St Peter's Primary School, Plumbridge",Catholic Maintained,West Tyrone,79.0,5.6,"Gortin Primary School, Omagh",Controlled,99.2
2032628,"Knocknagor Primary School, Trillick",Catholic Maintained,West Tyrone,49.0,5.7,"Queen Elizabeth II Primary School, Kilskeery",Controlled,102.3
5031135,"St Oliver's Primary School, Carrickrovaddy",Catholic Maintained,Newry And Armagh,52.0,5.7,Newtownhamilton Primary School,Controlled,102.4
3013332,"Toreagh Primary School, Larne",Controlled,East Antrim,114.0,5.8,"St Anthony's Primary School, Larne",Catholic Maintained,104.0
5032734,"St Mary's Primary School, Cabragh",Catholic Maintained,Fermanagh And South Tyrone,216.0,5.8,"Walker Memorial Primary School, Dungannon",Controlled,104.5
3010642,"Parkgate Primary School, Ballyclare",Controlled,South Antrim,51.0,5.8,"St Joseph's Primary School, Antrim",Catholic Maintained,105.4
4016020,"Carrowdore Primary School, Newtownards",Controlled,Strangford,170.0,5.8,"Loughries Integrated Primary School, Newtownards",Controlled Integrated,105.5
5036009,"St Mary's Primary School, Derrytrasna",Catholic Maintained,Upper Bann,99.0,5.8,"Birches Primary School, Portadown",Controlled,106.1
2036557,"All Saint's Primary School, Tattysallagh",Catholic Maintained,West Tyrone,102.0,5.8,"Gillygooley Primary School, Omagh",Controlled,106.7
2032723,"Roscavey Primary School, Beragh",Catholic Maintained,West Tyrone,53.0,5.9,"Cooley Primary School, Sixmilecross",Controlled,108.0
5031154,"St Michael's Primary School, Killean",Catholic Maintained,Newry And Armagh,129.0,5.9,"Bunscoil an Iuir, Newry",Other Maintained,108.8
5036130,"St Laurence O'Toole Primary School, Belleek",Catholic Maintained,Newry And Armagh,74.0,5.9,"Bessbrook Primary School, Newry",Controlled,110.5
3010825,"Carnaghts Primary School, Shankbridge",Controlled,North Antrim,94.0,5.9,"St Colmcilles Primary School, Ballymena",Catholic Maintained,111.1
2036090,"St Naile's Primary School, Kinawley",Catholic Maintained,Fermanagh And South Tyrone,105.0,6.0,Florencecourt Primary School,Controlled,112.0
3016014,"Templepatrick Primary School, Ballyclare",Controlled,South Antrim,435.0,6.1,"St Joseph's Primary School, Antrim",Catholic Maintained,116.0
2031897,"Killyhommon Primary School, Enniskillen",Catholic Maintained,Fermanagh And South Tyrone,72.0,6.1,Derrygonnelly Primary School,Controlled,116.3
4016396,"Killinchy Primary School, Newtownards",Controlled,Strangford,330.0,6.2,"St Caolan's Primary School, Saintfield",Catholic Maintained,119.7
3016594,"Bushvalley Primary School, Ballymoney",Controlled,North Antrim,173.0,6.2,"St Olcan's Primary School, Ballymoney",Catholic Maintained,120.1
3010809,"Ballycarry Primary School, Carrickfergus",Controlled,East Antrim,38.0,6.2,"Acorn Integrated Primary School, Carrickfergus",GMI,120.7
3016705,Islandmagee Primary School,Controlled,East Antrim,138.0,6.2,"St MacNissi's Primary School, Larne",Catholic Maintained,121.7
5011142,"Clare Primary School, Tandragee",Controlled,Newry And Armagh,136.0,6.2,"St Joseph's and St James's Primary School, Poyntzpass",Catholic Maintained,122.7
4036036,"St Malachy's Primary School, Kilcoo",Catholic Maintained,South Down,182.0,6.3,"Bunscoil Bheanna Boirche, Castlewellan",Other Maintained,123.4
5031697,"St Patrick's Primary School, Mayobridge",Catholic Maintained,South Down,349.0,6.3,"Windsor Hill Primary School, Newry",Controlled,125.2
2031868,"St Tierney's Primary School, Roslea",Catholic Maintained,Fermanagh And South Tyrone,120.0,6.4,"Aghadrumsee Primary School, Roslea",Controlled,126.7
3010892,"Ballytober Primary School, Bushmills",Controlled,East Londonderry,83.0,6.4,"St Patrick's Primary School, Portrush",Catholic Maintained,127.9
4011507,"Portavogie Primary School, Newtownards",Controlled,Strangford,219.0,6.4,"St Patrick's Primary School, Ballygalget",Catholic Maintained,128.0
3010874,"Whitehead Primary School, Carrickfergus",Controlled,East Antrim,415.0,6.4,"Acorn Integrated Primary School, Carrickfergus",GMI,130.1
5032387,"Derrylatinee Primary School, Dungannon",Catholic Maintained,Fermanagh And South Tyrone,101.0,6.5,"Walker Memorial Primary School, Dungannon",Controlled,131.6
2011893,Ballinamallard Primary School,Controlled,Fermanagh And South Tyrone,153.0,6.5,"St Paul's Primary School, Irvinestown",Catholic Maintained,132.8
