De ref,school name,management type,constituency,total enrolment,nearest_distance_other_management,nearest_school_other_management,nearest_management_type_other_management,area
3032268,"St Columba's Primary School, Straw",Catholic Maintained,Mid Ulster,145.0,0.0,"Gaelscoil Na Speirini, Draperstown",Other Maintained,0.0
5031669,"St John's Primary School, Gilford",Catholic Maintained,Upper Bann,127.0,0.0,"Gilford Primary School, Craigavon",Controlled,0.0
3046678,"Gaelscoil Na Speirini, Draperstown",Other Maintained,Mid Ulster,79.0,0.0,"St Columba's Primary School, Straw",Catholic Maintained,0.0
5036706,"St Columban's Primary School, Kilkeel",Catholic Maintained,South Down,225.0,0.0,"Gaelscoil na mBeann, Kilkeel",Other Maintained,0.0
5046692,"Gaelscoil na mBeann, Kilkeel",Other Maintained,South Down,94.0,0.0,"St Columban's Primary School, Kilkeel",Catholic Maintained,0.0
3036026,"St Joseph's Primary School, Crumlin",Catholic Maintained,South Antrim,541.0,0.0,"Gaelscoil Ghleann Darach, Crumlin",Other Maintained,0.0
5011596,"Gilford Primary School, Craigavon",Controlled,Upper Bann,88.0,0.0,"St John's Primary School, Gilford",Catholic Maintained,0.0
3046684,"Gaelscoil Ghleann Darach, Crumlin",Other Maintained,South Antrim,99.0,0.0,"St Joseph's Primary School, Crumlin",Catholic Maintained,0.0
4011674,"Knockbreda Primary School, Belfast",Controlled,Belfast South,142.0,0.1,"St Bernards Primary School, Belfast",Catholic Maintained,0.0
4031676,"St Bernards Primary School, Belfast",Catholic Maintained,Belfast South,437.0,0.1,"Knockbreda Primary School, Belfast",Controlled,0.0
2016071,Greenhaw Primary School,Controlled,Foyle,321.0,0.1,"St Patrick's Primary School, Pennyburn",Catholic Maintained,0.0
2036581,"St Patrick's Primary School, Pennyburn",Catholic Maintained,Foyle,719.0,0.1,Greenhaw Primary School,Controlled,0.0
5620263,Armagh Royal Preparatory Department,Voluntary,Newry And Armagh,30.0,0.2,"The Armstrong Primary School, Armagh",Controlled,0.1
5011115,"The Armstrong Primary School, Armagh",Controlled,Newry And Armagh,487.0,0.2,Armagh Royal Preparatory Department,Voluntary,0.1
4010762,"Brownlee Primary School, Lisburn",Controlled,Lagan Valley,198.0,0.2,"St Joseph's Primary School, Lisburn",Catholic Maintained,0.1
4030897,"St Joseph's Primary School, Lisburn",Catholic Maintained,Lagan Valley,385.0,0.2,"Brownlee Primary School, Lisburn",Controlled,0.1
1036623,"Holy Trinity Primary School, Belfast",Catholic Maintained,Belfast West,645.0,0.2,"Gaelscoil na Mona, Belfast",Other Maintained,0.1
1046671,"Gaelscoil na Mona, Belfast",Other Maintained,Belfast West,113.0,0.2,"Holy Trinity Primary School, Belfast",Catholic Maintained,0.1
1046596,Bunscoil Bheann Mhadagain,Other Maintained,Belfast North,199.0,0.2,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,0.1
1056483,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,Belfast North,408.0,0.2,Bunscoil Bheann Mhadagain,Other Maintained,0.1
2016029,"Drumachose Primary School, Limavady",Controlled,East Londonderry,410.0,0.2,"Gaelscoil Leim An Mhadaidh, Limavady",Other Maintained,0.1
2046689,"Gaelscoil Leim An Mhadaidh, Limavady",Other Maintained,East Londonderry,123.0,0.2,"Drumachose Primary School, Limavady",Controlled,0.1
5016078,Poyntzpass Primary School,Controlled,Newry And Armagh,156.0,0.2,"St Joseph's and St James's Primary School, Poyntzpass",Catholic Maintained,0.1
5036675,"St Joseph's and St James's Primary School, Poyntzpass",Catholic Maintained,Newry And Armagh,110.0,0.2,Poyntzpass Primary School,Controlled,0.1
3066568,"Acorn Integrated Primary School, Carrickfergus",GMI,East Antrim,223.0,0.2,"Victoria Primary School, Carrickfergus",Controlled,0.1
3013330,"Victoria Primary School, Carrickfergus",Controlled,East Antrim,410.0,0.2,"Acorn Integrated Primary School, Carrickfergus",GMI,0.1
3032281,"St Mary's Primary School, Bellaghy",Catholic Maintained,Mid Ulster,208.0,0.2,Bellaghy Primary School,Controlled,0.2
3012290,Bellaghy Primary School,Controlled,Mid Ulster,48.0,0.2,"St Mary's Primary School, Bellaghy",Catholic Maintained,0.2
4036428,"St Mary's Primary School, Kircubbin",Catholic Maintained,Strangford,142.0,0.2,"Kircubbin Integrated Primary School, Newtownards",Controlled Integrated,0.2
4051569,"Kircubbin Integrated Primary School, Newtownards",Controlled Integrated,Strangford,196.0,0.2,"St Mary's Primary School, Kircubbin",Catholic Maintained,0.2
2011894,Brookeborough Primary School,Controlled,Fermanagh And South Tyrone,64.0,0.2,"St Mary's Primary School, Brookeborough",Catholic Maintained,0.2
2031876,"St Mary's Primary School, Brookeborough",Catholic Maintained,Fermanagh And South Tyrone,65.0,0.2,Brookeborough Primary School,Controlled,0.2
2036555,"St Eugene's Primary School, Derry",Catholic Maintained,Foyle,199.0,0.2,Londonderry Model Primary School,Controlled,0.2
2010380,Londonderry Model Primary School,Controlled,Foyle,281.0,0.2,"St Eugene's Primary School, Derry",Catholic Maintained,0.2
1056535,"Forge Integrated Primary School, Belfast",Controlled Integrated,Belfast South,394.0,0.2,Rosetta Primary School,Controlled,0.2
1010157,Rosetta Primary School,Controlled,Belfast South,310.0,0.2,"Forge Integrated Primary School, Belfast",Controlled Integrated,0.2
2036247,"St Columba's Primary School, Newbuildings",Catholic Maintained,Foyle,41.0,0.2,Newbuildings Primary School,Controlled,0.2
2012261,Newbuildings Primary School,Controlled,Foyle,183.0,0.2,"St Columba's Primary School, Newbuildings",Catholic Maintained,0.2
5032692,"St Mary's Primary School, Stewartstown",Catholic Maintained,Mid Ulster,92.0,0.3,Stewartstown Primary School,Controlled,0.2
5012643,Stewartstown Primary School,Controlled,Mid Ulster,57.0,0.3,"St Mary's Primary School, Stewartstown",Catholic Maintained,0.2
4011631,Holywood Primary School,Controlled,North Down,455.0,0.3,"St Patrick's Primary School, Holywood",Catholic Maintained,0.2
4031628,"St Patrick's Primary School, Holywood",Catholic Maintained,North Down,303.0,0.3,Holywood Primary School,Controlled,0.2
1010063,"Currie Primary School, Belfast",Controlled,Belfast North,192.0,0.3,"Holy Family Primary School, Belfast",Catholic Maintained,0.2
1036566,"Holy Family Primary School, Belfast",Catholic Maintained,Belfast North,486.0,0.3,"Currie Primary School, Belfast",Controlled,0.2
1036471,"Sacred Heart Primary School, Belfast",Catholic Maintained,Belfast North,156.0,0.3,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,0.2
3030547,"St Patrick's Primary School, Portrush",Catholic Maintained,East Londonderry,69.0,0.3,Portrush Primary School,Controlled,0.2
3010847,Portrush Primary School,Controlled,East Londonderry,178.0,0.3,"St Patrick's Primary School, Portrush",Catholic Maintained,0.2
3032109,"New Row Primary School, Castledawson",Catholic Maintained,Mid Ulster,198.0,0.3,Castledawson Primary School,Controlled,0.3
3013704,Castledawson Primary School,Controlled,Mid Ulster,139.0,0.3,"New Row Primary School, Castledawson",Catholic Maintained,0.3
3030621,"St Mary's Primary School, Portglenone",Catholic Maintained,North Antrim,244.0,0.3,Portglenone Primary School,Controlled,0.3
3016440,Portglenone Primary School,Controlled,North Antrim,134.0,0.3,"St Mary's Primary School, Portglenone",Catholic Maintained,0.3
5046699,Gaelscoil Eoghain,Other Maintained,Mid Ulster,134.0,0.3,"Phoenix Integrated Primary School NU, Cookstown",GMI,0.3
5066657,"Phoenix Integrated Primary School NU, Cookstown",GMI,Mid Ulster,221.0,0.3,Gaelscoil Eoghain,Other Maintained,0.3
2030373,Nazareth House Primary School,Catholic Maintained,Foyle,228.0,0.3,"Gaelscoil Eadain Mhoir, Derry",Other Maintained,0.3
2046646,"Gaelscoil Eadain Mhoir, Derry",Other Maintained,Foyle,184.0,0.3,Nazareth House Primary School,Catholic Maintained,0.3
2036142,"St Brigid's Primary School, Carnhill",Catholic Maintained,Foyle,396.0,0.3,Greenhaw Primary School,Controlled,0.3
1030313,"Our Lady of Lourdes Primary School, Belfast",Catholic Maintained,Belfast North,623.0,0.3,Ben Madigan Preparatory School,Voluntary,0.3
1620028,Ben Madigan Preparatory School,Voluntary,Belfast North,104.0,0.3,"Our Lady of Lourdes Primary School, Belfast",Catholic Maintained,0.3
5012726,Cookstown Primary School,Controlled,Mid Ulster,474.0,0.3,Gaelscoil Eoghain,Other Maintained,0.3
3012250,Portstewart Primary School,Controlled,East Londonderry,254.0,0.3,"St Colum's Primary School, Portstewart",Catholic Maintained,0.3
3032231,"St Colum's Primary School, Portstewart",Catholic Maintained,East Londonderry,150.0,0.3,Portstewart Primary School,Controlled,0.3
3050841,"Central Integrated Primary School, Carrickfergus",Controlled Integrated,East Antrim,140.0,0.3,"St Nicholas' Primary School, Carrickfergus",Catholic Maintained,0.3
3036563,"St Nicholas' Primary School, Carrickfergus",Catholic Maintained,East Antrim,131.0,0.3,"Central Integrated Primary School, Carrickfergus",Controlled Integrated,0.3
5056013,"Kilbroney Integrated Primary School, Newry",Controlled Integrated,South Down,122.0,0.3,"St Bronagh's Primary School, Rostrevor",Catholic Maintained,0.3
5036673,"St Bronagh's Primary School, Rostrevor",Catholic Maintained,South Down,213.0,0.3,"Kilbroney Integrated Primary School, Newry",Controlled Integrated,0.3
5032678,"St Patrick's Primary School, Donaghmore",Catholic Maintained,Mid Ulster,219.0,0.3,"Donaghmore Primary School, Dungannon",Controlled,0.3
5012632,"Donaghmore Primary School, Dungannon",Controlled,Mid Ulster,75.0,0.3,"St Patrick's Primary School, Donaghmore",Catholic Maintained,0.3
2011860,Belleek No 2 Primary School,Controlled,Fermanagh And South Tyrone,32.0,0.3,"St Davog's Primary School, Belleek",Catholic Maintained,0.3
2036258,"St Davog's Primary School, Belleek",Catholic Maintained,Fermanagh And South Tyrone,105.0,0.3,Belleek No 2 Primary School,Controlled,0.3
1030331,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,Belfast North,192.0,0.3,"Wheatfield Primary School, Belfast",Controlled,0.3
1016532,"Wheatfield Primary School, Belfast",Controlled,Belfast North,176.0,0.3,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,0.3
4033008,"St Anne's Primary School, Donaghadee",Catholic Maintained,North Down,10.0,0.3,Donaghadee Primary School,Controlled,0.3
4011654,Donaghadee Primary School,Controlled,North Down,444.0,0.3,"St Anne's Primary School, Donaghadee",Catholic Maintained,0.3
4011698,Newcastle Primary School,Controlled,South Down,217.0,0.3,"St Mary's Primary School, Newcastle",Catholic Maintained,0.4
4036635,"St Mary's Primary School, Newcastle",Catholic Maintained,South Down,381.0,0.3,Newcastle Primary School,Controlled,0.4
4031665,"St Patrick's Primary School, Ballynahinch",Catholic Maintained,Strangford,260.0,0.3,"Drumlins Integrated Primary School, Ballynahinch",GMI,0.4
4066668,"Drumlins Integrated Primary School, Ballynahinch",GMI,Strangford,210.0,0.3,"St Patrick's Primary School, Ballynahinch",Catholic Maintained,0.4
4046600,Scoil Na Fuiseoige,Other Maintained,Belfast West,175.0,0.3,"Christ The Redeemer Primary School, Dunmurry",Catholic Maintained,0.4
4036618,"Christ The Redeemer Primary School, Dunmurry",Catholic Maintained,Belfast West,685.0,0.3,Scoil Na Fuiseoige,Other Maintained,0.4
3010553,"Carrickfergus Model Primary School, Carrickfergus",Controlled,East Antrim,364.0,0.3,"St Nicholas' Primary School, Carrickfergus",Catholic Maintained,0.4
2016151,Irvinestown Primary School,Controlled,Fermanagh And South Tyrone,173.0,0.3,"St Paul's Primary School, Irvinestown",Catholic Maintained,0.4
2031898,"St Paul's Primary School, Irvinestown",Catholic Maintained,Fermanagh And South Tyrone,232.0,0.3,Irvinestown Primary School,Controlled,0.4
3016244,"Ashgrove Primary School, Newtownabbey",Controlled,Belfast North,362.0,0.3,St Mary's-on-the-Hill Primary School,Catholic Maintained,0.4
3036046,St Mary's-on-the-Hill Primary School,Catholic Maintained,Belfast North,342.0,0.3,"Ashgrove Primary School, Newtownabbey",Controlled,0.4
4011646,"Victoria Primary School, Newtownards",Controlled,Strangford,442.0,0.3,"St Finian's Primary School, Newtownards",Catholic Maintained,0.4
4033017,"St Finian's Primary School, Newtownards",Catholic Maintained,Strangford,153.0,0.3,"Victoria Primary School, Newtownards",Controlled,0.4
5033004,"St Mary's Primary School, Rathfriland",Catholic Maintained,South Down,95.0,0.3,"Iveagh Primary School, Newry, Rathfriland",Controlled,0.4
5011611,"Iveagh Primary School, Newry, Rathfriland",Controlled,South Down,271.0,0.3,"St Mary's Primary School, Rathfriland",Catholic Maintained,0.4
1036620,"St Peter's Primary School, Belfast",Catholic Maintained,Belfast West,283.0,0.3,"Gaelscoil an Lonnain, Belfast",Other Maintained,0.4
1046672,"Gaelscoil an Lonnain, Belfast",Other Maintained,Belfast West,46.0,0.3,"St Peter's Primary School, Belfast",Catholic Maintained,0.4
3012267,Magherafelt Primary School,Controlled,Mid Ulster,240.0,0.4,"Holy Family Primary School, Magherafelt",Catholic Maintained,0.4
3036562,"Holy Family Primary School, Magherafelt",Catholic Maintained,Mid Ulster,568.0,0.4,Magherafelt Primary School,Controlled,0.4
4013045,"Grange Park Primary School, Bangor",Controlled,North Down,390.0,0.4,"St Comgall's Primary School, Bangor",Catholic Maintained,0.4
4036146,"St Comgall's Primary School, Bangor",Catholic Maintained,North Down,311.0,0.4,"Grange Park Primary School, Bangor",Controlled,0.4
5036000,"St Colman's Primary School, Dromore",Catholic Maintained,Lagan Valley,107.0,0.4,Dromore Central Primary School,Controlled,0.4
5011575,Dromore Central Primary School,Controlled,Lagan Valley,697.0,0.4,"St Colman's Primary School, Dromore",Catholic Maintained,0.4
3036139,"St MacNissi's Primary School, Newtownabbey",Catholic Maintained,South Antrim,172.0,0.4,"Mossley Primary School, Newtownabbey",Controlled,0.4
3016015,"Mossley Primary School, Newtownabbey",Controlled,South Antrim,548.0,0.4,"St MacNissi's Primary School, Newtownabbey",Catholic Maintained,0.4
1010325,"Ligoniel Primary School, Belfast",Controlled,Belfast North,197.0,0.4,St Vincent de Paul Primary School,Catholic Maintained,0.4
1036042,St Vincent de Paul Primary School,Catholic Maintained,Belfast North,288.0,0.4,"Ligoniel Primary School, Belfast",Controlled,0.4
4051601,Portaferry Integrated Primary School,Controlled Integrated,Strangford,65.0,0.4,"St Mary's Primary School, Portaferry",Catholic Maintained,0.5
4036530,"St Mary's Primary School, Portaferry",Catholic Maintained,Strangford,170.0,0.4,Portaferry Integrated Primary School,Controlled Integrated,0.5
5036583,"St Dallan's Primary School, Warrenpoint",Catholic Maintained,South Down,475.0,0.4,"Dromore Road Primary School, Warrenpoint",Controlled,0.5
5011520,"Dromore Road Primary School, Warrenpoint",Controlled,South Down,87.0,0.4,"St Dallan's Primary School, Warrenpoint",Catholic Maintained,0.5
4620044,"Sullivan Upper Preparatory, Holywood",Voluntary,North Down,176.0,0.4,"St Patrick's Primary School, Holywood",Catholic Maintained,0.5
5036567,"Holy Trinity Primary School, Cookstown",Catholic Maintained,Mid Ulster,694.0,0.4,Cookstown Primary School,Controlled,0.5
5032715,"St John's Primary School, Moy",Catholic Maintained,Fermanagh And South Tyrone,205.0,0.4,Moy Regional Primary School,Controlled,0.5
5012636,Moy Regional Primary School,Controlled,Fermanagh And South Tyrone,69.0,0.4,"St John's Primary School, Moy",Catholic Maintained,0.5
1010252,"Strandtown Primary School, Belfast",Controlled,Belfast East,979.0,0.4,"St Joseph's Primary School, Holland Dr",Catholic Maintained,0.6
1036246,"St Joseph's Primary School, Holland Dr",Catholic Maintained,Belfast East,377.0,0.4,"Strandtown Primary School, Belfast",Controlled,0.6
5012720,Dungannon Primary School,Controlled,Fermanagh And South Tyrone,320.0,0.4,"St Patrick's Primary School, Dungannon",Catholic Maintained,0.6
5036504,"St Patrick's Primary School, Dungannon",Catholic Maintained,Fermanagh And South Tyrone,888.0,0.4,Dungannon Primary School,Controlled,0.6
5036110,"St Joseph's Primary School, Bessbrook",Catholic Maintained,Newry And Armagh,373.0,0.4,"Bessbrook Primary School, Newry",Controlled,0.6
5011179,"Bessbrook Primary School, Newry",Controlled,Newry And Armagh,121.0,0.4,"St Joseph's Primary School, Bessbrook",Catholic Maintained,0.6
2030364,Rosemount Primary School,Catholic Maintained,Foyle,375.0,0.4,Londonderry Model Primary School,Controlled,0.6
1050232,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,Belfast South,218.0,0.4,Downey House Preparatory School,Voluntary,0.6
1620023,Downey House Preparatory School,Voluntary,Belfast South,49.0,0.4,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,0.6
1016647,"Bunscoil Mhic Reachtain, Belfast",Controlled,Belfast North,50.0,0.4,"St Patrick's Primary School, Belfast",Catholic Maintained,0.6
1036698,"St Patrick's Primary School, Belfast",Catholic Maintained,Belfast North,428.0,0.4,"Bunscoil Mhic Reachtain, Belfast",Controlled,0.6
1036621,"St Joseph's Primary School, Slate",Catholic Maintained,Belfast West,325.0,0.5,"Gaelscoil an Lonnain, Belfast",Other Maintained,0.7
3036559,"St Patrick's & St Brigid's Primary School, Ballycastle",Catholic Maintained,North Antrim,448.0,0.5,Ballycastle Integrated Primary School,Controlled Integrated,0.7
3053333,Ballycastle Integrated Primary School,Controlled Integrated,North Antrim,200.0,0.5,"St Patrick's & St Brigid's Primary School, Ballycastle",Catholic Maintained,0.7
2016564,"Fountain Primary School, Londonderry",Controlled,Foyle,77.0,0.5,Longtower Primary School,Catholic Maintained,0.7
2036475,Longtower Primary School,Catholic Maintained,Foyle,290.0,0.5,"Fountain Primary School, Londonderry",Controlled,0.7
1036697,"John Paul II Primary School, Belfast",Catholic Maintained,Belfast West,319.0,0.5,"Bunscoil an Tsleibhe Dhuibh, Belfast",Other Maintained,0.7
1046593,"Bunscoil an Tsleibhe Dhuibh, Belfast",Other Maintained,Belfast West,220.0,0.5,"John Paul II Primary School, Belfast",Catholic Maintained,0.7
3050791,"Glengormley Integrated Primary School, Newtownabbey",Controlled Integrated,Belfast North,268.0,0.5,"St Bernard's Primary School, Newtownabbey",Catholic Maintained,0.7
3033313,"St Bernard's Primary School, Newtownabbey",Catholic Maintained,Belfast North,624.0,0.5,"Glengormley Integrated Primary School, Newtownabbey",Controlled Integrated,0.7
1010205,"Forth River Primary School, Belfast",Controlled,Belfast West,212.0,0.5,"Mercy Primary School, Belfast",Catholic Maintained,0.7
1036041,"Mercy Primary School, Belfast",Catholic Maintained,Belfast North,241.0,0.5,"Forth River Primary School, Belfast",Controlled,0.7
3033317,"St John's Primary School, Carnlough",Catholic Maintained,East Antrim,146.0,0.5,"Carnlough Integrated Primary School, Ballymena",Controlled Integrated,0.8
3050519,"Carnlough Integrated Primary School, Ballymena",Controlled Integrated,East Antrim,27.0,0.5,"St John's Primary School, Carnlough",Catholic Maintained,0.8
5011594,"Abercorn Primary School, Banbridge",Controlled,Upper Bann,308.0,0.5,"Bridge Integrated Primary School, Banbridge",GMI,0.8
5066540,"Bridge Integrated Primary School, Banbridge",GMI,Upper Bann,413.0,0.5,"Abercorn Primary School, Banbridge",Controlled,0.8
1010012,"Belmont Primary School, Belfast",Controlled,Belfast East,245.0,0.5,"Strathearn Preparatory School, Belfast",Voluntary,0.8
1620089,"Strathearn Preparatory School, Belfast",Voluntary,Belfast East,131.0,0.5,"Belmont Primary School, Belfast",Controlled,0.8
3036100,"St James Primary School, Newtownabbey",Catholic Maintained,East Antrim,261.0,0.5,"King's Park Primary School, Newtownabbey",Controlled,0.8
3010880,"King's Park Primary School, Newtownabbey",Controlled,Belfast North,302.0,0.5,"St James Primary School, Newtownabbey",Catholic Maintained,0.8
1030326,"Our Lady's Primary School, Belfast",Catholic Maintained,Belfast North,193.0,0.5,"Carr's Glen Primary School, Belfast",Controlled,0.8
1010282,"Carr's Glen Primary School, Belfast",Controlled,Belfast North,340.0,0.5,"Our Lady's Primary School, Belfast",Catholic Maintained,0.8
5036586,"Presentation Primary School, Portadown",Catholic Maintained,Upper Bann,299.0,0.5,"Millington Primary School, Portadown",Controlled,0.8
5016007,"Millington Primary School, Portadown",Controlled,Upper Bann,619.0,0.5,"Presentation Primary School, Portadown",Catholic Maintained,0.8
3012237,"Killowen Primary School, Coleraine",Controlled,East Londonderry,199.0,0.5,"St John's Primary School, Coleraine",Catholic Maintained,0.8
3033709,"St John's Primary School, Coleraine",Catholic Maintained,East Londonderry,166.0,0.5,"Killowen Primary School, Coleraine",Controlled,0.8
4620050,"Friends' School Preparatory, Lisburn",Voluntary,Lagan Valley,142.0,0.5,"Brownlee Primary School, Lisburn",Controlled,0.9
5046137,"Seagoe Primary School, Portadown",Other Maintained,Upper Bann,377.0,0.5,Portadown Integrated Primary School,GMI,0.9
5066553,Portadown Integrated Primary School,GMI,Upper Bann,478.0,0.5,"Seagoe Primary School, Portadown",Other Maintained,0.9
5036043,"St Mary's Primary School, Banbridge",Catholic Maintained,Upper Bann,516.0,0.5,"Bridge Integrated Primary School, Banbridge",GMI,0.9
4056709,"Killyleagh Integrated Primary School, Downpatrick",Controlled Integrated,Strangford,124.0,0.5,"St Mary's Primary School, Killyleagh",Catholic Maintained,0.9
4033036,"St Mary's Primary School, Killyleagh",Catholic Maintained,Strangford,76.0,0.5,"Killyleagh Integrated Primary School, Downpatrick",Controlled Integrated,0.9
3046691,"Gaelscoil an tSeanchai, Magherafelt",Other Maintained,Mid Ulster,128.0,0.5,"Holy Family Primary School, Magherafelt",Catholic Maintained,0.9
1036140,"St Michael's Primary School, Belfast",Catholic Maintained,Belfast South,417.0,0.5,Downey House Preparatory School,Voluntary,0.9
3036575,"St MacNissi's Primary School, Larne",Catholic Maintained,East Antrim,169.0,0.5,"Moyle Primary School, Larne",Controlled,0.9
3010870,"Moyle Primary School, Larne",Controlled,East Antrim,421.0,0.5,"St MacNissi's Primary School, Larne",Catholic Maintained,0.9
3050866,Ballymoney Model Controlled Integrated Primary School,Controlled Integrated,North Antrim,363.0,0.5,"St Brigid's Primary School, Ballymoney",Catholic Maintained,0.9
3033326,"St Brigid's Primary School, Ballymoney",Catholic Maintained,North Antrim,209.0,0.5,Ballymoney Model Controlled Integrated Primary School,Controlled Integrated,0.9
5016451,"Windsor Hill Primary School, Newry",Controlled,Newry And Armagh,205.0,0.6,"St Joseph's Convent Primary School, Newry",Catholic Maintained,1.0
5031340,"St Joseph's Convent Primary School, Newry",Catholic Maintained,Newry And Armagh,489.0,0.6,"Windsor Hill Primary School, Newry",Controlled,1.0
2036069,"St Anne's Primary School, Londonderry",Catholic Maintained,Foyle,340.0,0.6,Londonderry Model Primary School,Controlled,1.0
1036466,"St Malachy's Primary School, Belfast",Catholic Maintained,Belfast South,391.0,0.6,"Scoil an Droichid, Belfast",Other Maintained,1.0
1046641,"Scoil an Droichid, Belfast",Other Maintained,Belfast South,191.0,0.6,"St Malachy's Primary School, Belfast",Catholic Maintained,1.0
4016681,"Glasswater Primary School, Downpatrick",Controlled,South Down,77.0,0.6,"Cedar Integrated Primary School, Crossgar",GMI,1.0
4066588,"Cedar Integrated Primary School, Crossgar",GMI,South Down,229.0,0.6,"Glasswater Primary School, Downpatrick",Controlled,1.0
1036630,"St Clare's Primary School, Belfast",Catholic Maintained,Belfast West,460.0,0.6,"Gaelscoil an Lonnain, Belfast",Other Maintained,1.0
1030194,"Holy Cross Boys' Primary School, Belfast",Catholic Maintained,Belfast North,397.0,0.6,"Edenbrooke Primary School, Belfast",Controlled,1.0
1010323,"Edenbrooke Primary School, Belfast",Controlled,Belfast North,367.0,0.6,"Holy Cross Boys' Primary School, Belfast",Catholic Maintained,1.0
3010860,"Sunnylands Primary School, Carrickfergus",Controlled,East Antrim,200.0,0.6,"Central Integrated Primary School, Carrickfergus",Controlled Integrated,1.0
4036148,"St Malachy's Primary School, Bangor",Catholic Maintained,North Down,404.0,0.6,"Kilcooley Primary School, Bangor",Controlled,1.0
4016002,"Kilcooley Primary School, Bangor",Controlled,North Down,241.0,0.6,"St Malachy's Primary School, Bangor",Catholic Maintained,1.0
4046648,"Bunscoil Bheanna Boirche, Castlewellan",Other Maintained,South Down,157.0,0.6,"St Malachy's Primary School, Castlewellan",Catholic Maintained,1.0
4036454,"St Malachy's Primary School, Castlewellan",Catholic Maintained,South Down,388.0,0.6,"Bunscoil Bheanna Boirche, Castlewellan",Other Maintained,1.0
1016485,"Glenwood Primary School, Belfast",Controlled,Belfast North,508.0,0.6,"St Clare's Primary School, Belfast",Catholic Maintained,1.0
2012052,Culmore Primary School,Controlled,Foyle,55.0,0.6,"Hollybush Primary School, Culmore",Catholic Maintained,1.0
2036533,"Hollybush Primary School, Culmore",Catholic Maintained,Foyle,428.0,0.6,Culmore Primary School,Controlled,1.0
3016037,"Greystone Primary School, Antrim",Controlled,South Antrim,174.0,0.6,"St Joseph's Primary School, Antrim",Catholic Maintained,1.0
3036050,"St Joseph's Primary School, Antrim",Catholic Maintained,South Antrim,345.0,0.6,"Greystone Primary School, Antrim",Controlled,1.0
5036634,"St Clare's Abbey Primary School, Newry",Catholic Maintained,Newry And Armagh,503.0,0.6,"Bunscoil an Iuir, Newry",Other Maintained,1.0
5046597,"Bunscoil an Iuir, Newry",Other Maintained,Newry And Armagh,98.0,0.6,"St Clare's Abbey Primary School, Newry",Catholic Maintained,1.0
3010875,Ballymena Primary School,Controlled,North Antrim,244.0,0.6,"St Colmcilles Primary School, Ballymena",Catholic Maintained,1.0
3036666,"St Colmcilles Primary School, Ballymena",Catholic Maintained,North Antrim,425.0,0.6,Ballymena Primary School,Controlled,1.0
1046571,"Gaelscoil Na Bhfal, Belfast",Other Maintained,Belfast West,216.0,0.6,"Donegall Road Primary School, Belfast",Controlled,1.0
1016060,"Donegall Road Primary School, Belfast",Controlled,Belfast South,209.0,0.6,"Gaelscoil Na Bhfal, Belfast",Other Maintained,1.0
1036589,"St Teresa's Primary School, Belfast",Catholic Maintained,Belfast West,610.0,0.6,"Gaelscoil na Mona, Belfast",Other Maintained,1.0
1620022,"Fullerton House Preparatory School, Belfast",Voluntary,Belfast South,142.0,0.6,"Botanic Primary School, Belfast",Controlled,1.0
1016499,"Botanic Primary School, Belfast",Controlled,Belfast South,210.0,0.6,"Fullerton House Preparatory School, Belfast",Voluntary,1.0
5036173,"St John the Baptist Primary School, Portadown",Catholic Maintained,Upper Bann,472.0,0.6,Ballyoran Primary School,Controlled,1.1
5016117,Ballyoran Primary School,Controlled,Upper Bann,284.0,0.6,"St John the Baptist Primary School, Portadown",Catholic Maintained,1.1
3036679,"St Brigid's Primary School, Ballymena",Catholic Maintained,North Antrim,387.0,0.6,"Braidside Integratead Primary School, Ballymena",GMI,1.1
3066551,"Braidside Integratead Primary School, Ballymena",GMI,North Antrim,319.0,0.6,"St Brigid's Primary School, Ballymena",Catholic Maintained,1.1
1046501,Bunscoil Phobal Feirste,Other Maintained,Belfast West,421.0,0.6,"St Oliver Plunkett Primary School, Belfast",Catholic Maintained,1.1
1036602,"St Oliver Plunkett Primary School, Belfast",Catholic Maintained,Belfast West,633.0,0.6,Bunscoil Phobal Feirste,Other Maintained,1.1
4010882,"Seymour Hill Primary School, Belfast",Controlled,Lagan Valley,254.0,0.6,Oakwood Integrated Primary School,GMI,1.1
4066611,Oakwood Integrated Primary School,GMI,Lagan Valley,213.0,0.6,"Seymour Hill Primary School, Belfast",Controlled,1.1
5012657,"Walker Memorial Primary School, Dungannon",Controlled,Fermanagh And South Tyrone,63.0,0.6,"Blessed Patrick O'Loughran Primary School, Dungannon",Catholic Maintained,1.1
5032463,"Blessed Patrick O'Loughran Primary School, Dungannon",Catholic Maintained,Fermanagh And South Tyrone,109.0,0.6,"Walker Memorial Primary School, Dungannon",Controlled,1.1
2036082,"St Colmcille's Primary School, Claudy",Catholic Maintained,East Londonderry,252.0,0.6,Cumber Claudy Primary School,Controlled,1.1
2016372,Cumber Claudy Primary School,Controlled,East Londonderry,147.0,0.6,"St Colmcille's Primary School, Claudy",Catholic Maintained,1.1
