De ref,school name,town,postcode,management type,constituency,Urban/ Rural     ,total enrolment,Latitude,Longitude,nearest_distance,nearest_school,nearest_management_type,nearest_same_management_distance,nearest_same_management_school,nearest_distance_other_management,nearest_school_other_management,nearest_management_type_other_management,Sustainability,geom
1030313,"Our Lady of Lourdes Primary School, Belfast",Belfast,BT15 5GQ,Catholic Maintained,Belfast North,URBAN,623.0,54.645265,-5.936343,0.31161113353227937,Ben Madigan Preparatory School,Voluntary,0.8436683789145405,"St Mary's Star of the Sea Primary School, Belfast",0.31161113353227937,Ben Madigan Preparatory School,Voluntary,Sustainable,POINT (-5.936343 54.645265)
1030326,"Our Lady's Primary School, Belfast",Belfast,BT14 6NN,Catholic Maintained,Belfast North,URBAN,193.0,54.622333,-5.954723,0.5104380732043596,"Carr's Glen Primary School, Belfast",Controlled,0.7488154622789942,"Sacred Heart Primary School, Belfast",0.5104380732043596,"Carr's Glen Primary School, Belfast",Controlled,Sustainable,POINT (-5.954723 54.622333)
1030327,"Holy Rosary Primary School, Belfast",Belfast,BT7 3DB,Catholic Maintained,Belfast South,URBAN,470.0,54.575726,-5.924069,0.7624938217476226,"Forge Integrated Primary School, Belfast",Controlled Integrated,0.8595758125375023,"St Michael's Primary School, Belfast",0.7624938217476226,"Forge Integrated Primary School, Belfast",Controlled Integrated,Sustainable,POINT (-5.924069 54.575726)
1030331,"Holy Cross Girls' Primary School, Belfast",Belfast,BT14 7HZ,Catholic Maintained,Belfast North,URBAN,192.0,54.619665,-5.968111,0.32687619265270224,"Wheatfield Primary School, Belfast",Controlled,0.33954364067773746,"Mercy Primary School, Belfast",0.32687619265270224,"Wheatfield Primary School, Belfast",Controlled,Sustainable,POINT (-5.968111 54.619665)
1030868,"St Anne's Primary School, Belfast",Belfast,BT10 0NE,Catholic Maintained,Belfast South,URBAN,887.0,54.553711,-5.99478,0.9302447592695015,Dunmurry Primary School,Controlled,1.1734119044647582,"Our Lady Queen of Peace Primary School, Belfast",0.9302447592695015,Dunmurry Primary School,Controlled,Sustainable,POINT (-5.99478 54.553711)
1036041,"Mercy Primary School, Belfast",Belfast,BT14 7GL,Catholic Maintained,Belfast North,URBAN,241.0,54.616832,-5.970079,0.33954364067773746,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,0.33954364067773746,"Holy Cross Girls' Primary School, Belfast",0.48659232783588474,"Forth River Primary School, Belfast",Controlled,Sustainable,POINT (-5.970079 54.616832)
1036042,St Vincent de Paul Primary School,Belfast,BT14 8DP,Catholic Maintained,Belfast North,URBAN,288.0,54.626198,-5.98375,0.3755625460018084,"Ligoniel Primary School, Belfast",Controlled,1.2415068520118002,"Holy Cross Girls' Primary School, Belfast",0.3755625460018084,"Ligoniel Primary School, Belfast",Controlled,Sustainable,POINT (-5.98375 54.626198)
1036048,"St Mary's Star of the Sea Primary School, Belfast",Belfast,BT15 4HL,Catholic Maintained,Belfast North,URBAN,138.0,54.64153,-5.92493,0.7467787627466487,Ben Madigan Preparatory School,Voluntary,0.8436683789145405,"Our Lady of Lourdes Primary School, Belfast",0.7467787627466487,Ben Madigan Preparatory School,Voluntary,Not Sustainable,POINT (-5.92493 54.64153)
1036075,"St Bride's Primary School, Belfast",Belfast,BT9 6FP,Catholic Maintained,Belfast South,URBAN,838.0,54.578167,-5.943836,0.6072696030823496,"Fullerton House Preparatory School, Belfast",Voluntary,1.302570410848933,"Holy Rosary Primary School, Belfast",0.6072696030823496,"Fullerton House Preparatory School, Belfast",Voluntary,Sustainable,POINT (-5.943836 54.578167)
1036132,"St Therese of Lisieux Primary School, Belfast",Belfast,BT15 5GF,Catholic Maintained,Belfast North,URBAN,424.0,54.630367,-5.938957,0.7759008183112291,"Cavehill Primary School, Belfast",Controlled,1.3520514123025051,"Our Lady's Primary School, Belfast",0.7759008183112291,"Cavehill Primary School, Belfast",Controlled,Sustainable,POINT (-5.938957 54.630367)
1036140,"St Michael's Primary School, Belfast",Belfast,BT6 0BW,Catholic Maintained,Belfast South,URBAN,417.0,54.579297,-5.91224,0.5363054468074383,Downey House Preparatory School,Voluntary,0.8595758125375023,"Holy Rosary Primary School, Belfast",0.5363054468074383,Downey House Preparatory School,Voluntary,Sustainable,POINT (-5.91224 54.579297)
1036246,"St Joseph's Primary School, Holland Dr",Belfast,BT5 6EH,Catholic Maintained,Belfast East,URBAN,377.0,54.594685,-5.870834,0.4284185781188719,"Strandtown Primary School, Belfast",Controlled,2.362746970225242,"St Matthew's Primary School, Belfast",0.4284185781188719,"Strandtown Primary School, Belfast",Controlled,Sustainable,POINT (-5.870834 54.594685)
1036388,"St Mary's Primary School, Belfast",Belfast,BT12 4AL,Catholic Maintained,Belfast West,URBAN,132.0,54.599591,-5.938794,0.5817443624596594,"St Peter's Primary School, Belfast",Catholic Maintained,0.5817443624596594,"St Peter's Primary School, Belfast",0.7906527177678814,"Malvern Primary School, Belfast",Controlled,Not Sustainable,POINT (-5.938794 54.599591)
1036466,"St Malachy's Primary School, Belfast",Belfast,BT7 2BJ,Catholic Maintained,Belfast South,URBAN,391.0,54.593294,-5.923624,0.552399573951861,"Scoil an Droichid, Belfast",Other Maintained,1.2021895197660735,"St Mary's Primary School, Belfast",0.552399573951861,"Scoil an Droichid, Belfast",Other Maintained,Sustainable,POINT (-5.923624 54.593294)
1036471,"Sacred Heart Primary School, Belfast",Belfast,BT14 6HH,Catholic Maintained,Belfast North,URBAN,156.0,54.616187,-5.949969,0.28003524798775076,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,0.6392830717561655,"Holy Cross Boys' Primary School, Belfast",0.28003524798775076,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,Sustainable,POINT (-5.949969 54.616187)
1036505,"St Matthew's Primary School, Belfast",Belfast,BT5 4EW,Catholic Maintained,Belfast East,URBAN,346.0,54.599014,-5.906743,0.6771908543249145,"Nettlefield Primary School, Belfast",Controlled,1.2598077869811677,"St Malachy's Primary School, Belfast",0.6771908543249145,"Nettlefield Primary School, Belfast",Controlled,Sustainable,POINT (-5.906743 54.599014)
1036565,St Kevin's Primary School,Belfast,BT12 6EN,Catholic Maintained,Belfast West,URBAN,566.0,54.588061,-5.97004,0.6045189916161459,"Gaelscoil Na Bhfal, Belfast",Other Maintained,0.8589463458154771,"St Paul's Primary School, Belfast",0.6045189916161459,"Gaelscoil Na Bhfal, Belfast",Other Maintained,Sustainable,POINT (-5.97004 54.588061)
1036566,"Holy Family Primary School, Belfast",Belfast,BT15 2HP,Catholic Maintained,Belfast North,URBAN,486.0,54.615547,-5.935015,0.2769120207637697,"Currie Primary School, Belfast",Controlled,0.76010507824059,"St Patrick's Primary School, Belfast",0.2769120207637697,"Currie Primary School, Belfast",Controlled,Sustainable,POINT (-5.935015 54.615547)
1036576,"Holy Child Primary School, Belfast",Belfast,BT11 8JF,Catholic Maintained,Belfast West,URBAN,457.0,54.576323,-5.991334,0.5327005530193404,"St John the Baptist Primary School, Belfast",Catholic Maintained,0.5327005530193404,"St John the Baptist Primary School, Belfast",0.9069143087381161,Bunscoil Phobal Feirste,Other Maintained,Sustainable,POINT (-5.991334 54.576323)
1036589,"St Teresa's Primary School, Belfast",Belfast,BT11 8BL,Catholic Maintained,Belfast West,URBAN,610.0,54.581356,-5.989771,0.5686377695344026,"Holy Child Primary School, Belfast",Catholic Maintained,0.5686377695344026,"Holy Child Primary School, Belfast",0.5775392719169155,"Gaelscoil na Mona, Belfast",Other Maintained,Sustainable,POINT (-5.989771 54.581356)
1036602,"St Oliver Plunkett Primary School, Belfast",Belfast,BT11 8AY,Catholic Maintained,Belfast West,URBAN,633.0,54.576265,-6.013392,0.589615233014008,Bunscoil Phobal Feirste,Other Maintained,1.3243300448766828,"St John the Baptist Primary School, Belfast",0.589615233014008,Bunscoil Phobal Feirste,Other Maintained,Sustainable,POINT (-6.013392 54.576265)
1036620,"St Peter's Primary School, Belfast",Belfast,BT12 4JD,Catholic Maintained,Belfast West,URBAN,283.0,54.597812,-5.947287,0.2202257410225173,"St Joseph's Primary School, Slate",Catholic Maintained,0.2202257410225173,"St Joseph's Primary School, Slate",0.3488008333848508,"Gaelscoil an Lonnain, Belfast",Other Maintained,Sustainable,POINT (-5.947287 54.597812)
1036621,"St Joseph's Primary School, Slate",Belfast,BT12 4LD,Catholic Maintained,Belfast West,URBAN,325.0,54.595862,-5.946689,0.2202257410225173,"St Peter's Primary School, Belfast",Catholic Maintained,0.2202257410225173,"St Peter's Primary School, Belfast",0.46151249509777714,"Gaelscoil an Lonnain, Belfast",Other Maintained,Sustainable,POINT (-5.946689 54.595862)
1036623,"Holy Trinity Primary School, Belfast",Belfast,BT11 8EG,Catholic Maintained,Belfast West,URBAN,645.0,54.587676,-5.992709,0.16924171489909284,"Gaelscoil na Mona, Belfast",Other Maintained,0.7278069447741414,"St Teresa's Primary School, Belfast",0.16924171489909284,"Gaelscoil na Mona, Belfast",Other Maintained,Sustainable,POINT (-5.992709 54.587676)
1036624,"St Paul's Primary School, Belfast",Belfast,BT12 7NN,Catholic Maintained,Belfast West,URBAN,336.0,54.595691,-5.967959,0.6132668285760765,"Springfield Primary School, Belfast",Controlled,0.8170086020033884,"St Clare's Primary School, Belfast",0.6132668285760765,"Springfield Primary School, Belfast",Controlled,Sustainable,POINT (-5.967959 54.595691)
1036630,"St Clare's Primary School, Belfast",Belfast,BT13 2SE,Catholic Maintained,Belfast West,URBAN,460.0,54.601173,-5.959514,0.5545999373431147,"Gaelscoil an Lonnain, Belfast",Other Maintained,0.8170086020033884,"St Paul's Primary School, Belfast",0.5545999373431147,"Gaelscoil an Lonnain, Belfast",Other Maintained,Sustainable,POINT (-5.959514 54.601173)
1036688,"St John the Baptist Primary School, Belfast",Belfast,BT11 9EH,Catholic Maintained,Belfast West,URBAN,401.0,54.571853,-5.994307,0.5327005530193404,"Holy Child Primary School, Belfast",Catholic Maintained,0.5327005530193404,"Holy Child Primary School, Belfast",0.734799631942845,Bunscoil Phobal Feirste,Other Maintained,Sustainable,POINT (-5.994307 54.571853)
1036697,"John Paul II Primary School, Belfast",Belfast,BT12 7FW,Catholic Maintained,Belfast West,URBAN,319.0,54.594043,-5.987119,0.47406839989507354,"Bunscoil an Tsleibhe Dhuibh, Belfast",Other Maintained,0.7943191430886318,"Holy Trinity Primary School, Belfast",0.47406839989507354,"Bunscoil an Tsleibhe Dhuibh, Belfast",Other Maintained,Sustainable,POINT (-5.987119 54.594043)
1036698,"St Patrick's Primary School, Belfast",Belfast,BT15 2BN,Catholic Maintained,Belfast North,URBAN,428.0,54.608719,-5.935578,0.4484619709164242,"Bunscoil Mhic Reachtain, Belfast",Controlled,0.76010507824059,"Holy Family Primary School, Belfast",0.4484619709164242,"Bunscoil Mhic Reachtain, Belfast",Controlled,Sustainable,POINT (-5.935578 54.608719)
1046501,Bunscoil Phobal Feirste,Belfast,BT11 9QS,Other Maintained,Belfast West,URBAN,421.0,54.574239,-6.004938,0.589615233014008,"St Oliver Plunkett Primary School, Belfast",Catholic Maintained,1.5299290379930615,"Gaelscoil na Mona, Belfast",0.589615233014008,"St Oliver Plunkett Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-6.004938 54.574239)
1046571,"Gaelscoil Na Bhfal, Belfast",Belfast,BT12 6AW,Other Maintained,Belfast West,URBAN,216.0,54.590618,-5.96176,0.577523280908805,"Donegall Road Primary School, Belfast",Controlled,1.0215407365736393,"Gaelscoil an Lonnain, Belfast",0.577523280908805,"Donegall Road Primary School, Belfast",Controlled,Sustainable,POINT (-5.96176 54.590618)
1046593,"Bunscoil an Tsleibhe Dhuibh, Belfast",Belfast,BT12 7JL,Other Maintained,Belfast West,URBAN,220.0,54.592225,-5.980463,0.47406839989507354,"John Paul II Primary School, Belfast",Catholic Maintained,1.0574552114897122,"Gaelscoil na Mona, Belfast",0.47406839989507354,"John Paul II Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.980463 54.592225)
1046596,Bunscoil Bheann Mhadagain,Belfast,BT14 6LA,Other Maintained,Belfast North,URBAN,199.0,54.616419,-5.945081,0.17159352313892717,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,2.0898374220453233,"Gaelscoil an Lonnain, Belfast",0.17159352313892717,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,Sustainable,POINT (-5.945081 54.616419)
1046641,"Scoil an Droichid, Belfast",Belfast,BT7 2EP,Other Maintained,Belfast South,URBAN,191.0,54.588406,-5.922093,0.552399573951861,"St Malachy's Primary School, Belfast",Catholic Maintained,2.248041111425889,"Gaelscoil an Lonnain, Belfast",0.552399573951861,"St Malachy's Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.922093 54.588406)
1046671,"Gaelscoil na Mona, Belfast",Belfast,BT11 8QB,Other Maintained,Belfast West,URBAN,113.0,54.586173,-5.993123,0.16924171489909284,"Holy Trinity Primary School, Belfast",Catholic Maintained,1.0574552114897122,"Bunscoil an Tsleibhe Dhuibh, Belfast",0.16924171489909284,"Holy Trinity Primary School, Belfast",Catholic Maintained,Not Sustainable,POINT (-5.993123 54.586173)
1046672,"Gaelscoil an Lonnain, Belfast",Belfast,BT12 4PD,Other Maintained,Belfast West,URBAN,46.0,54.598146,-5.952671,0.3488008333848508,"St Peter's Primary School, Belfast",Catholic Maintained,1.0215407365736393,"Gaelscoil Na Bhfal, Belfast",0.3488008333848508,"St Peter's Primary School, Belfast",Catholic Maintained,Not Sustainable,POINT (-5.952671 54.598146)
1050232,"Harding Memorial Integrated Primary School, Belfast",Belfast,BT6 8PZ,Controlled Integrated,Belfast South,URBAN,218.0,54.582608,-5.89852,0.4456072912587989,Downey House Preparatory School,Voluntary,1.6291777232693547,"Forge Integrated Primary School, Belfast",0.4456072912587989,Downey House Preparatory School,Voluntary,Sustainable,POINT (-5.89852 54.582608)
1056483,"Cliftonville Integrated Primary School, Belfast",Belfast,BT14 6JQ,Controlled Integrated,Belfast North,URBAN,408.0,54.617719,-5.946517,0.17159352313892717,Bunscoil Bheann Mhadagain,Other Maintained,4.980031404016585,"Harding Memorial Integrated Primary School, Belfast",0.17159352313892717,Bunscoil Bheann Mhadagain,Other Maintained,Sustainable,POINT (-5.946517 54.617719)
