De ref,school name,town,postcode,management type,constituency,Urban/ Rural     ,total enrolment,Latitude,Longitude
1036388,"St Mary's Primary School, Belfast",Belfast,BT12 4AL,Catholic Maintained,Belfast West,URBAN,132.0,54.599591,-5.938794
1036466,"St Malachy's Primary School, Belfast",Belfast,BT7 2BJ,Catholic Maintained,Belfast South,URBAN,391.0,54.593294,-5.923624
1036471,"Sacred Heart Primary School, Belfast",Belfast,BT14 6HH,Catholic Maintained,Belfast North,URBAN,156.0,54.616187,-5.949969
1036505,"St Matthew's Primary School, Belfast",Belfast,BT5 4EW,Catholic Maintained,Belfast East,URBAN,346.0,54.599014,-5.906743
1036565,St Kevin's Primary School,Belfast,BT12 6EN,Catholic Maintained,Belfast West,URBAN,566.0,54.588061,-5.97004
1036566,"Holy Family Primary School, Belfast",Belfast,BT15 2HP,Catholic Maintained,Belfast North,URBAN,486.0,54.615547,-5.935015
1036576,"Holy Child Primary School, Belfast",Belfast,BT11 8JF,Catholic Maintained,Belfast West,URBAN,457.0,54.576323,-5.991334
1036589,"St Teresa's Primary School, Belfast",Belfast,BT11 8BL,Catholic Maintained,Belfast West,URBAN,610.0,54.581356,-5.989771
1036602,"St Oliver Plunkett Primary School, Belfast",Belfast,BT11 8AY,Catholic Maintained,Belfast West,URBAN,633.0,54.576265,-6.013392
1036620,"St Peter's Primary School, Belfast",Belfast,BT12 4JD,Catholic Maintained,Belfast West,URBAN,283.0,54.597812,-5.947287
1036621,"St Joseph's Primary School, Slate",Belfast,BT12 4LD,Catholic Maintained,Belfast West,URBAN,325.0,54.595862,-5.946689
1036623,"Holy Trinity Primary School, Belfast",Belfast,BT11 8EG,Catholic Maintained,Belfast West,URBAN,645.0,54.587676,-5.992709
1036624,"St Paul's Primary School, Belfast",Belfast,BT12 7NN,Catholic Maintained,Belfast West,URBAN,336.0,54.595691,-5.967959
1036630,"St Clare's Primary School, Belfast",Belfast,BT13 2SE,Catholic Maintained,Belfast West,URBAN,460.0,54.601173,-5.959514
1036688,"St John the Baptist Primary School, Belfast",Belfast,BT11 9EH,Catholic Maintained,Belfast West,URBAN,401.0,54.571853,-5.994307
